                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5241,                 1.1939,                 1.1415,                0.60632,                0.62092,                0.62636,                0.42765,                 1.2945,                 1.3518,                0.99899,             0.00035936,             0.00035936,             0.00035936
                     34,                  1.528,                  1.166,                 1.1346,                0.51184,                0.62963,                0.61002,                0.40714,                 1.2703,                  1.373,                0.99857,             0.00035416,             0.00035416,             0.00035416
                     35,                 1.5345,                 1.1953,                 1.1392,                0.51595,                0.65021,                0.63585,                0.43221,                 1.2638,                 1.3565,                0.99233,             0.00034895,             0.00034895,             0.00034895
                     36,                 1.5038,                 1.1651,                 1.1207,                0.59746,                0.64366,                0.63512,                0.41658,                 1.2836,                 1.3619,                0.99334,             0.00034374,             0.00034374,             0.00034374
                     37,                 1.5063,                 1.1597,                 1.1369,                 0.6124,                0.58841,                0.62509,                 0.4094,                  1.287,                 1.3411,                0.99678,             0.00033853,             0.00033853,             0.00033853
                     38,                 1.5124,                  1.144,                 1.1308,                0.55903,                0.64688,                0.63028,                 0.3914,                  1.352,                 1.3434,                 1.0149,             0.00033333,             0.00033333,             0.00033333
                     39,                 1.4881,                 1.1307,                 1.1224,                 0.6473,                0.59293,                0.63379,                0.43055,                 1.2473,                 1.3601,                0.98506,             0.00032812,             0.00032812,             0.00032812
                     40,                 1.4765,                   1.11,                 1.1125,                0.49985,                0.71362,                0.64203,                 0.3979,                 1.3322,                 1.2995,                  1.011,             0.00032291,             0.00032291,             0.00032291
                     41,                 1.4752,                 1.0904,                 1.1187,                0.68363,                0.58506,                0.64633,                0.43404,                 1.2984,                 1.3099,                 1.0004,              0.0003177,              0.0003177,              0.0003177
                     42,                 1.4794,                 1.0969,                 1.1198,                 0.5058,                0.67433,                0.63401,                0.43206,                 1.2579,                  1.355,                0.98339,              0.0003125,              0.0003125,              0.0003125
                     43,                 1.4887,                 1.0955,                 1.1232,                0.60339,                0.59132,                0.60468,                0.39514,                  1.283,                 1.3492,                0.99163,             0.00030729,             0.00030729,             0.00030729
                     44,                  1.496,                 1.0894,                  1.118,                0.56569,                0.65483,                0.65166,                0.43641,                 1.2629,                 1.2534,                0.98573,             0.00030208,             0.00030208,             0.00030208
                     45,                 1.4632,                 1.0713,                 1.1189,                0.58899,                 0.6141,                0.63688,                0.41523,                 1.2688,                 1.2612,                0.99246,             0.00029687,             0.00029687,             0.00029687
                     46,                 1.4512,                 1.0797,                 1.1077,                0.54257,                0.63212,                0.64201,                0.42336,                 1.2626,                 1.3188,                0.98874,             0.00029167,             0.00029167,             0.00029167
                     47,                 1.4811,                 1.0779,                 1.1096,                0.62548,                0.64363,                0.65802,                0.43296,                 1.2514,                 1.2872,                0.98616,             0.00028646,             0.00028646,             0.00028646
                     48,                 1.4849,                 1.0734,                 1.1062,                0.53223,                  0.666,                0.65347,                0.43724,                  1.267,                 1.3071,                   0.99,             0.00028125,             0.00028125,             0.00028125
                     49,                   1.48,                 1.0623,                 1.1163,                0.67781,                0.58395,                0.64466,                0.44422,                 1.2484,                 1.2795,                0.98338,             0.00027604,             0.00027604,             0.00027604
