                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.368,                0.82643,                 1.1801,                0.69701,                 0.7973,                0.82474,                0.50252,                 1.3802,                 1.1564,                 1.2634,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2654,                0.75453,                 1.1558,                 0.8637,                0.79981,                0.93416,                0.60119,                 1.3139,                 1.0089,                 1.2199,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2593,                0.73248,                 1.1342,                0.71297,                0.85214,                0.82835,                0.55248,                 1.3104,                0.96797,                 1.2313,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3333,                0.76242,                 1.2035,                0.55877,                0.86634,                0.74441,                0.45881,                  1.391,                 1.0521,                 1.2643,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2606,                 0.7289,                 1.1336,                0.80772,                0.80423,                0.88748,                0.59125,                  1.455,                0.89231,                 1.3059,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2373,                0.76027,                 1.1484,                0.82557,                 0.7761,                0.88197,                0.53482,                 1.5313,                0.92231,                 1.3327,              0.0010399,              0.0010399,              0.0010399
                     40,                  1.233,                0.71805,                 1.1537,                0.87491,                0.42528,                0.42938,                0.26501,                 1.3866,                 1.1405,                 1.2708,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2398,                0.70928,                 1.1425,                0.75233,                0.78443,                0.87358,                0.56581,                 1.3278,                0.84426,                 1.2478,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2439,                0.70633,                  1.146,                0.72743,                0.66779,                0.84032,                0.54543,                 1.3484,                0.99966,                 1.2423,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2196,                0.68878,                 1.1091,                0.75169,                0.72652,                0.79488,                0.54433,                 1.2829,                0.95528,                 1.2242,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2271,                0.71813,                 1.1213,                0.78138,                0.78495,                0.88767,                 0.5841,                 1.4439,                0.81487,                 1.3158,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2546,                0.75075,                 1.1609,                0.64474,                0.61937,                0.77528,                0.49722,                 1.3733,                 1.0093,                 1.2528,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2403,                0.68076,                 1.1385,                0.92582,                0.79493,                0.92612,                0.61949,                 1.2839,                0.82362,                 1.2289,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2163,                  0.668,                 1.1219,                 0.5245,                0.51606,                0.49899,                0.31083,                  1.421,                 1.0701,                 1.3081,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.1933,                0.68179,                 1.1295,                0.60528,                 0.8505,                0.75555,                0.50275,                 1.3256,                 1.0557,                 1.2443,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.1466,                0.63818,                  1.098,                0.60673,                0.78716,                0.72694,                0.49128,                 1.3646,                0.88484,                 1.2544,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.1785,                0.65773,                 1.0962,                0.93114,                0.89354,                 0.9535,                0.67402,                 1.3215,                  0.637,                 1.2383,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2076,                0.67616,                 1.1159,                 0.8811,                0.74914,                 0.8321,                 0.5685,                  1.308,                0.80828,                 1.2295,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1769,                  0.635,                 1.1052,                0.74795,                0.83446,                 0.8925,                0.59767,                 1.4139,                0.80591,                 1.2868,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1867,                0.65008,                 1.1353,                0.85425,                0.80393,                0.89338,                0.57933,                 1.3641,                0.73592,                  1.271,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.1732,                0.65313,                 1.1029,                0.85271,                0.82883,                0.89473,                0.60455,                 1.3169,                0.68055,                 1.2638,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.1359,                0.61005,                  1.093,                0.64192,                0.72017,                0.74272,                0.50367,                 1.3031,                0.80207,                 1.2469,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1644,                0.63393,                 1.0697,                0.61665,                0.64077,                0.61948,                0.41018,                 1.3487,                0.87046,                 1.2543,             0.00075932,             0.00075932,             0.00075932
